start,finish
1661454397.5163,1661454397.7269
1661454397.7288,1661454397.8786
1661454397.88,1661454398.0752
1661454398.1301,1661454398.7007
1661454398.1569,1661454398.7505
1661454398.1751,1661454398.7975
1661454398.1116,1661454398.8621
1661454398.1662,1661454398.9295
1661454398.139,1661454398.9734
1661454398.1479,1661454398.9781
1661454398.2112,1661454399.0379
1661454398.1841,1661454399.1222
1661454398.1205,1661454399.1276
1661454398.7165,1661454399.1649
1661454398.2296,1661454399.2289
1661454398.9392,1661454399.4289
1661454399.0006,1661454399.4316
1661454398.8734,1661454399.5135
1661454399.1534,1661454399.5971
1661454398.763,1661454399.6005
1661454398.8086,1661454399.648
1661454398.0918,1661454399.6667
1661454399.2407,1661454399.7043
1661454399.1349,1661454399.7191
1661454398.2202,1661454399.7341
1661454399.0487,1661454399.8749
1661454399.4384,1661454400.063
1661454399.5226,1661454400.0679
1661454399.4524,1661454400.118
1661454398.1016,1661454400.1395
1661454398.9845,1661454400.193
1661454398.1934,1661454400.5548
1661454398.2023,1661454400.6103
1661454399.1737,1661454401.5018
1661454399.6067,1661454401.9632
1661454402.4426,1661454403.0114
1661454402.4703,1661454403.0485
1661454402.4966,1661454403.1253
1661454402.4163,1661454403.1296
1661454402.5146,1661454403.1447
1661454402.4879,1661454403.2007
1661454402.46,1661454403.2724
1661454402.5058,1661454403.308
1661454402.4792,1661454403.4547
1661454403.1332,1661454403.6329
1661454403.1607,1661454403.6612
1661454403.0536,1661454403.6646
1661454403.1467,1661454403.6921
1661454402.434,1661454403.7417
1661454402.3874,1661454403.7764
1661454402.4248,1661454403.8346
1661454403.4592,1661454404.0214
1661454403.0168,1661454404.1267
1661454403.2063,1661454404.1392
1661454403.2765,1661454404.1531
1661454403.8384,1661454404.2352
1661454403.6821,1661454404.2398
1661454403.6385,1661454404.2421
1661454402.4076,1661454404.2857
1661454403.7463,1661454404.654
1661454403.3125,1661454404.7458
1661454403.6682,1661454404.7611
1661454403.6981,1661454405.1158
1661454402.3764,1661454405.1873
1661454402.4512,1661454405.1915
1661454402.3988,1661454405.5714
1661454403.7812,1661454405.9133
1661454406.336,1661454407.0243
1661454406.448,1661454407.0429
1661454406.4388,1661454407.0757
1661454406.4567,1661454407.115
1661454406.345,1661454407.1323
1661454406.4204,1661454407.134
1661454406.3036,1661454407.2355
1661454406.3546,1661454407.2519
1661454406.3806,1661454407.2669
1661454406.3634,1661454407.4199
1661454406.4654,1661454407.5669
1661454407.0477,1661454407.667
1661454407.1391,1661454407.745
1661454407.1188,1661454407.7623
1661454407.0796,1661454407.8626
1661454407.2712,1661454407.9012
1661454407.4241,1661454407.9523
1661454406.372,1661454407.9803
1661454407.0285,1661454407.9946
1661454407.2556,1661454408.0363
1661454406.3253,1661454408.1623
1661454407.7693,1661454408.1665
1661454406.4296,1661454408.1976
1661454407.1498,1661454408.2714
1661454407.6718,1661454408.3168
1661454407.866,1661454408.3828
1661454406.3145,1661454408.4732
1661454407.9058,1661454408.4751
1661454406.474,1661454408.9921
1661454407.5707,1661454409.03
1661454407.2409,1661454409.4136
1661454407.7499,1661454410.0098
1661454410.5486,1661454411.0785
1661454410.4347,1661454411.0955
1661454410.4942,1661454411.1501
1661454410.5308,1661454411.1915
1661454410.4559,1661454411.3391
1661454410.5657,1661454411.3571
1661454410.4767,1661454411.4011
1661454410.5399,1661454411.4275
1661454410.5046,1661454411.577
1661454411.0817,1661454411.6001
1661454411.1944,1661454411.6673
1661454411.342,1661454411.7864
1661454410.4856,1661454411.8301
1661454410.4662,1661454411.9556
1661454411.3603,1661454411.9727
1661454411.0996,1661454412.0332
1661454411.1529,1661454412.0507
1661454411.4301,1661454412.0584
1661454410.5748,1661454412.1195
1661454411.5801,1661454412.1493
1661454411.6031,1661454412.1506
1661454411.4043,1661454412.1822
1661454411.7898,1661454412.2306
1661454410.4453,1661454412.3243
1661454411.9769,1661454412.4463
1661454412.0359,1661454412.4602
1661454411.9584,1661454412.4847
1661454411.834,1661454412.6205
1661454410.5571,1661454413.2659
1661454410.5221,1661454413.2752
1661454410.5135,1661454413.3859
1661454411.671,1661454413.938
1661454414.8652,1661454415.4443
1661454414.892,1661454415.4641
1661454414.7848,1661454415.5017
1661454414.8828,1661454415.5222
1661454414.9103,1661454415.568
1661454414.8209,1661454415.6302
1661454414.874,1661454415.6983
1661454414.8474,1661454415.717
1661454414.8123,1661454415.7923
1661454414.8559,1661454415.8865
1661454415.4508,1661454415.9169
1661454415.5279,1661454416.0644
1661454415.5075,1661454416.1304
1661454415.4713,1661454416.1846
1661454415.5741,1661454416.187
1661454414.8037,1661454416.2389
1661454415.892,1661454416.4123
1661454415.9222,1661454416.4259
1661454415.7231,1661454416.4727
1661454415.7037,1661454416.633
1661454416.1352,1661454416.6478
1661454415.6371,1661454416.6504
1661454414.7723,1661454416.6551
1661454416.1897,1661454416.6634
1661454415.7976,1661454416.7534
1661454416.1995,1661454416.8146
1661454416.2447,1661454416.8557
1661454416.0703,1661454416.8851
1661454414.9008,1661454416.9681
1661454414.8388,1661454417.0055
1661454414.795,1661454417.1075
1661454414.8301,1661454418.0395
1661454418.51,1661454419.0405
1661454418.4917,1661454419.0867
1661454418.5282,1661454419.1593
1661454418.4639,1661454419.1772
1661454418.4543,1661454419.2234
1661454418.4261,1661454419.2277
1661454418.4739,1661454419.3115
1661454418.4366,1661454419.4763
1661454418.5012,1661454419.5036
1661454419.0455,1661454419.5476
1661454418.4456,1661454419.5986
1661454419.1817,1661454419.6712
1661454419.0919,1661454419.6928
1661454419.1638,1661454419.7123
1661454418.4154,1661454419.7598
1661454418.5369,1661454419.7644
1661454418.5545,1661454419.8034
1661454419.244,1661454419.8118
1661454419.5082,1661454420.0462
1661454419.316,1661454420.1301
1661454419.4819,1661454420.1349
1661454419.717,1661454420.1539
1661454419.5527,1661454420.1615
1661454419.6757,1661454420.2251
1661454419.6026,1661454420.3224
1661454419.698,1661454420.37
1661454418.5457,1661454420.4215
1661454419.7804,1661454420.5226
1661454419.7665,1661454420.5504
1661454418.5188,1661454420.6194
1661454418.4829,1661454421.2179
1661454419.2297,1661454421.8152
1661454422.2349,1661454422.8357
1661454422.2248,1661454422.8895
1661454422.3257,1661454422.9052
1661454422.2663,1661454422.91
1661454422.2571,1661454423.0739
1661454422.3786,1661454423.1004
1661454422.2448,1661454423.2628
1661454422.839,1661454423.2914
1661454422.8938,1661454423.3125
1661454422.3612,1661454423.5237
1661454422.9227,1661454423.5431
1661454422.3872,1661454423.5439
1661454422.352,1661454423.5706
1661454422.3347,1661454423.5942
1661454423.0778,1661454423.7587
1661454423.3163,1661454423.7796
1661454423.1035,1661454423.8262
1661454423.2662,1661454423.9199
1661454423.295,1661454423.9478
1661454423.5758,1661454424.0205
1661454423.5978,1661454424.0645
1661454423.5596,1661454424.1541
1661454422.2838,1661454424.2076
1661454422.3699,1661454424.2848
1661454423.5501,1661454424.3005
1661454423.7844,1661454424.3267
1661454422.2751,1661454424.378
1661454423.7623,1661454424.4874
1661454422.3964,1661454424.717
1661454422.3434,1661454424.8964
1661454422.9121,1661454425.2269
1661454423.5277,1661454425.9024
1661454426.3523,1661454426.9349
1661454426.3934,1661454427.034
1661454426.3643,1661454427.0489
1661454426.4662,1661454427.1168
1661454426.3746,1661454427.1611
1661454426.4029,1661454427.1993
1661454426.4214,1661454427.3414
1661454426.9373,1661454427.4392
1661454427.0522,1661454427.4593
1661454426.3408,1661454427.5252
1661454426.3845,1661454427.5617
1661454427.1636,1661454427.6154
1661454427.037,1661454427.6305
1661454426.4483,1661454427.7511
1661454427.3443,1661454427.8028
1661454427.2018,1661454427.8053
1661454427.4418,1661454427.8838
1661454426.4308,1661454427.99
1661454426.457,1661454428.0538
1661454427.6177,1661454428.0879
1661454427.6343,1661454428.096
1661454426.4124,1661454428.2866
1661454427.4621,1661454428.2899
1661454427.8072,1661454428.295
1661454427.5279,1661454428.3828
1661454427.8187,1661454428.3996
1661454427.7552,1661454428.5585
1661454427.5646,1661454428.5601
1661454426.4748,1661454428.5751
1661454426.4835,1661454428.8464
1661454427.1198,1661454429.0758
1661454426.4396,1661454429.2098
1661454430.0926,1661454430.6312
1661454430.1205,1661454430.6995
1661454430.1479,1661454430.7197
1661454430.0653,1661454430.7372
1661454430.0564,1661454430.8455
1661454430.1391,1661454430.8655
1661454430.1103,1661454431.0472
1661454430.637,1661454431.1356
1661454430.0831,1661454431.1538
1661454430.7426,1661454431.175
1661454430.7045,1661454431.2311
1661454430.7252,1661454431.4375
1661454430.8704,1661454431.4781
1661454431.1412,1661454431.6125
1661454431.1615,1661454431.6553
1661454430.1015,1661454431.7789
1661454431.2357,1661454431.8025
1661454430.1573,1661454431.8246
1661454430.1302,1661454431.8944
1661454431.4418,1661454431.9024
1661454431.18,1661454431.9611
1661454431.6183,1661454432.0301
1661454431.4837,1661454432.1497
1661454431.7838,1661454432.192
1661454431.6603,1661454432.2405
1661454431.0529,1661454432.4566
1661454430.0742,1661454432.5886
1661454430.0378,1661454432.6903
1661454430.0278,1661454432.8265
1661454430.8501,1661454432.9632
1661454430.0466,1661454433.0716
1661454430.0165,1661454433.3616
1661454433.812,1661454434.3971
1661454433.8576,1661454434.417
1661454433.783,1661454434.4449
1661454433.7714,1661454434.4609
1661454433.8662,1661454434.5482
1661454433.8835,1661454434.6127
1661454433.8749,1661454434.6435
1661454434.4492,1661454434.8735
1661454433.8305,1661454434.8909
1661454433.8482,1661454434.9123
1661454433.7607,1661454434.9441
1661454434.4214,1661454434.9863
1661454434.4018,1661454435.0699
1661454434.553,1661454435.0903
1661454434.4655,1661454435.1294
1661454434.6467,1661454435.2644
1661454433.7928,1661454435.3073
1661454434.8959,1661454435.3267
1661454434.6169,1661454435.3399
1661454434.8781,1661454435.3548
1661454433.8926,1661454435.3631
1661454435.076,1661454435.5235
1661454435.0945,1661454435.567
1661454433.8027,1661454435.5732
1661454434.9162,1661454435.6094
1661454433.8217,1661454435.667
1661454434.9908,1661454435.8199
1661454433.8394,1661454435.8576
1661454435.1329,1661454435.9197
1661454433.9013,1661454436.0792
1661454434.9489,1661454437.5494
1661454435.2683,1661454439.6916
1661454440.222,1661454440.7597
1661454440.1174,1661454440.7844
1661454440.2405,1661454440.8183
1661454440.1278,1661454440.8854
1661454440.2029,1661454440.9021
1661454440.2935,1661454441.0617
1661454440.1383,1661454441.1361
1661454440.1489,1661454441.152
1661454440.1585,1661454441.1691
1661454440.7898,1661454441.2247
1661454440.2761,1661454441.2405
1661454440.231,1661454441.2665
1661454440.7635,1661454441.2691
1661454440.2493,1661454441.3651
1661454440.8887,1661454441.404
1661454441.0649,1661454441.4901
1661454441.2707,1661454441.7194
1661454441.2278,1661454441.7664
1661454441.2815,1661454441.7853
1661454441.2444,1661454441.8313
1661454441.4934,1661454441.9357
1661454441.37,1661454441.9755
1661454441.1727,1661454442.0301
1661454440.821,1661454442.1696
1661454440.2583,1661454442.2203
1661454441.1581,1661454442.2913
1661454440.2128,1661454442.3122
1661454441.4071,1661454442.3386
1661454440.2674,1661454442.7266
1661454440.2848,1661454443.1083
1661454440.9047,1661454443.174
1661454441.1396,1661454444.0281
1661454444.9098,1661454445.4938
1661454444.9368,1661454445.5217
1661454444.9456,1661454445.5501
1661454444.8826,1661454445.5982
1661454444.8549,1661454445.7677
1661454444.8649,1661454445.905
1661454444.901,1661454445.9513
1661454445.5556,1661454445.9911
1661454444.928,1661454445.9958
1661454445.5016,1661454446.0361
1661454444.8738,1661454446.0533
1661454444.8339,1661454446.0734
1661454444.9186,1661454446.0787
1661454444.8915,1661454446.1321
1661454445.6044,1661454446.1482
1661454445.5279,1661454446.213
1661454445.7733,1661454446.2464
1661454445.9114,1661454446.4056
1661454445.9568,1661454446.4354
1661454446.0418,1661454446.5874
1661454446.097,1661454446.5991
1661454446.0857,1661454446.6154
1661454446.0127,1661454446.8377
1661454446.1531,1661454446.9769
1661454446.0608,1661454446.9987
1661454446.1377,1661454447.0062
1661454444.9544,1661454447.0944
1661454444.9956,1661454447.1685
1661454446.2178,1661454447.318
1661454444.8457,1661454447.4837
1661454445.9996,1661454447.6008
1661454445.0052,1661454448.1314
1661454448.5581,1661454449.0349
1661454448.6498,1661454449.1606
1661454448.5083,1661454449.2289
1661454448.567,1661454449.2471
1661454448.52,1661454449.3348
1661454448.6049,1661454449.3367
1661454448.5759,1661454449.531
1661454449.0398,1661454449.5821
1661454448.6138,1661454449.6431
1661454448.5484,1661454449.6838
1661454448.5959,1661454449.6858
1661454449.2357,1661454449.7587
1661454448.6227,1661454449.8676
1661454448.6321,1661454449.9089
1661454449.5353,1661454450.0226
1661454449.3516,1661454450.0246
1661454449.6895,1661454450.183
1661454449.7642,1661454450.1942
1661454448.586,1661454450.2024
1661454449.6473,1661454450.2223
1661454450.0412,1661454450.6852
1661454450.0294,1661454450.7756
1661454449.1649,1661454450.9175
1661454449.8716,1661454450.9468
1661454449.7029,1661454451.0119
1661454448.641,1661454451.1442
1661454448.5304,1661454451.2177
1661454448.5395,1661454451.3469
1661454449.5859,1661454451.3601
1661454449.3394,1661454451.4855
1661454449.2515,1661454451.5411
1661454449.9143,1661454452.1734
1661454452.7178,1661454453.0955
1661454452.7083,1661454453.1133
1661454452.6634,1661454453.1769
1661454452.6363,1661454453.2544
1661454453.1174,1661454453.6138
1661454453.0996,1661454453.6307
1661454452.6546,1661454453.7726
1661454452.6275,1661454453.899
1661454452.5759,1661454453.9405
1661454453.6338,1661454454.0073
1661454452.6723,1661454454.0244
1661454452.597,1661454454.0949
1661454453.258,1661454454.1156
1661454452.6812,1661454454.1762
1661454453.6179,1661454454.2339
1661454452.6186,1661454454.2506
1661454454.0277,1661454454.4816
1661454454.0986,1661454454.5571
1661454453.7761,1661454454.6854
1661454454.2369,1661454454.7135
1661454452.6995,1661454454.7961
1661454454.0117,1661454454.8087
1661454452.6906,1661454454.8184
1661454452.6083,1661454454.8374
1661454454.2538,1661454454.8969
1661454453.9452,1661454454.9531
1661454454.1806,1661454455.0022
1661454452.5866,1661454455.114
1661454453.1806,1661454455.2664
1661454454.1193,1661454455.314
1661454453.9022,1661454455.395
1661454452.6451,1661454455.5276
1661454456.1031,1661454456.6848
1661454456.0573,1661454456.7418
1661454456.1295,1661454456.7552
1661454456.075,1661454456.7891
1661454456.0849,1661454456.882
1661454456.1209,1661454456.8958
1661454455.9968,1661454456.9675
1661454456.0661,1661454456.969
1661454456.0074,1661454456.9805
1661454456.1381,1661454456.9932
1661454456.1467,1661454457.0061
1661454456.6889,1661454457.1124
1661454456.7602,1661454457.2096
1661454456.7445,1661454457.2321
1661454456.7919,1661454457.2495
1661454456.1644,1661454457.4584
1661454457.0221,1661454457.474
1661454456.8994,1661454457.5483
1661454456.9707,1661454457.5512
1661454456.8846,1661454457.6073
1661454457.2351,1661454457.6309
1661454456.9956,1661454457.6666
1661454457.0117,1661454457.6802
1661454457.2531,1661454457.8924
1661454457.4607,1661454457.9542
1661454456.1558,1661454458.0674
1661454456.0944,1661454458.0746
1661454457.2124,1661454458.0858
1661454455.9866,1661454458.1453
1661454457.1158,1661454458.7945
1661454456.1116,1661454459.0883
1661454456.9835,1661454459.6302
1661454460.4891,1661454461.1234
1661454460.517,1661454461.1426
1661454460.508,1661454461.2001
1661454460.5349,1661454461.2219
1661454460.5736,1661454461.3161
1661454460.6224,1661454461.3342
1661454460.5259,1661454461.3754
1661454460.4982,1661454461.4473
1661454461.1491,1661454461.5755
1661454461.1291,1661454461.598
1661454460.6311,1661454461.69
1661454460.4697,1661454461.694
1661454461.3393,1661454461.746
1661454461.3212,1661454461.7735
1661454460.5637,1661454461.8174
1661454461.381,1661454461.9188
1661454461.4521,1661454461.9349
1661454461.2271,1661454461.962
1661454460.4568,1661454462.1213
1661454460.5445,1661454462.1342
1661454461.7513,1661454462.1467
1661454461.6969,1661454462.2203
1661454461.7782,1661454462.2897
1661454461.9234,1661454462.3919
1661454460.4799,1661454462.4204
1661454460.5534,1661454462.478
1661454461.6025,1661454462.8862
1661454460.6136,1661454462.9037
1661454461.581,1661454462.9142
1661454461.8228,1661454463.3325
