Selectivity,Platform,System,Time,Cost,Transfer Size,Chunking,Choosen
0.01,Azure,TileDB,3361.84620380402,10.6648442284775,133.276552855968,auto,
0.01,GCS,TileDB,1796.09654545784,14.6625968141565,133.276552855968,auto,
0.01,S3,TileDB,2637.89076328278,11.9970657570372,133.276552855968,auto,
0.05,Azure,TileDB,17711.7497062683,53.9907739066672,674.71254883334,auto,
0.05,GCS,TileDB,9106.89808368683,74.2293963716674,674.71254883334,auto,
0.05,S3,TileDB,13208.2000291348,60.7351453950006,674.71254883334,auto,
0.1,Azure,TileDB,35507.6801335812,107.981547813334,1349.42509766668,auto,
0.1,GCS,TileDB,18817.6157128811,148.458792743335,1349.42509766668,auto,
0.1,S3,TileDB,26490.4040539265,121.470290790001,1349.42509766668,auto,
0.01,S3,ArrayMorph,150.4295,0.142234762943359,1.28746032714844,auto,s
0.05,S3,ArrayMorph,682.4535,0.710793917557007,6.51776790618897,auto,s
0.1,S3,ArrayMorph,1253.875,1.41165834911401,13.0355358123779,auto,s
0.01,Azure,HSDS,4476.72305703163,14.2767643569946,177.429554462433,auto,
0.05,Azure,HSDS,9022.02194213867,72.2761195572853,898.237119466066,auto,
0.1,Azure,HSDS,14254.3011581898,144.552239114571,1796.47423893213,auto,
0.01,S3,HSDS,3146.78015708923,16.034579901619,177.429554462433,auto,
0.05,S3,HSDS,13444.7489392757,81.175060751946,898.237119466066,auto,
0.1,S3,HSDS,9684.74827289581,162.350121503892,1796.47423893213,auto,
0.01,Azure,HSDS,197.572897672653,0.103821430969238,1.28776788711548,frame,
0.05,Azure,HSDS,859.692833423614,0.525595994281769,6.51932492852211,frame,
0.1,Azure,HSDS,1659.89046931267,1.05119198856354,13.0386498570442,frame,
0.01,S3,HSDS,190.315915346146,0.116539109840393,1.28776788711548,frame,
0.05,S3,HSDS,806.546410322189,0.58997924356699,6.51932492852211,frame,
0.1,S3,HSDS,1598.63090395927,1.17995848713398,13.0386498570442,frame,
0.01,Azure,TileDB,172.75289773941,0.113581524658203,1.40976905822754,frame,
0.01,GCS,TileDB,170.339900255203,0.155714596405029,1.40976905822754,frame,
0.01,S3,TileDB,181.973770856857,0.127519215240479,1.40976905822754,frame,
0.05,Azure,TileDB,583.774170875549,0.575006468582153,7.13695585727692,frame,
0.05,GCS,TileDB,704.513254165649,0.788305144300461,7.13695585727692,frame,
0.05,S3,TileDB,694.195275306702,0.645566027154923,7.13695585727692,frame,
0.1,Azure,TileDB,1315.79279899597,1.15001293716431,14.2739117145538,frame,
0.1,GCS,TileDB,1352.70215153694,1.57661028860092,14.2739117145538,frame,
0.1,S3,TileDB,1320.44826745987,1.29113205430985,14.2739117145538,frame,
0.1,S3,ArrayMorph,1050,1.175,13.0355358123779,frame,m